Instance Name,XTRA,XOPQ,YOPQ,SPAC,WGHT,WDTH,OPSZ,CNTR
ExtraLight Condensed,248.0,78.0,85.0,25,200.0,52,48,0
Light Condensed,280.0,95.0,90.0,25,300,52,48,0
Regular Condensed,290.0,147.0,130.0,25,400,52,48,0.0
Medium Condensed,345.0,240.0,240.0,25,500,52,48,0
Semibold Condensed,354.0,322.0,268.0,25,600,52,48,0
Bold Condensed,318.0,407.0,347.0,25,700,52,48,0
ExtraLight,580.0,78.575,78.59,25,200,100,48,0
Light,603.55,133.124,124.253,25,300,100,48,0
Regular,627.0,187.672,160.0,25,400,100,48,0
Medium,650.5,242.221,216.1,25,500,100,48,0
SemiBold,693.05,321.48,286.0,25,600,100,48,0
Bold,735.6,400.738,324.7,25,700,100,48,0
ExtraLight Extended,1259.0,85.0,84.0,25,200,182,48,0
Light Extended,1259.0,113.0,111.0,25,300,182,48,0
Regular Extended,1252.1,220.4,197.1,25,400,182,48,0
Medium Extended,1213.0,370.0,318.0,25,500,182,48,0
Semibold Extended,1275.0,508.0,360.0,25,600,182,48,0
Bold Extended,1350.0,579.8,391.4,25,700,182,48,0
ExtraLight Ultra Extended,2300.0,100.0,98.0,25,200,300,48,0
Light Ultra Extended,2290.0,134.0,128.0,25,300,300,48,0
Regular Ultra Extended,2210.6,235.2,199.5,25,400,300,48,0
Medium Ultra Extended,2290.0,317.0,259.0,25,500,300,48,0
Semibold Ultra Extended,2346.0,465.6,358.2,25,600,300,48,0
Bold Ultra Extended,2369.9,638.2,387.1,25,700,300,48,0
Thin,461.8,46.9,44.0,25,100,100,48,0
Thin Extended,1136.3,54.6,47.3,25,100,182,48,0
Thin Ultra Extended,2300.0,61.4,60.1,25,100,300,48,0
Thin Condensed,181.2,40.3,41.3,25,100,52,48,0
