Instance Name,XTRA,XOPQ,YOPQ,SPAC,WGHT-e,WDTH-e,OPSZ-e,CONTRAST-e
ExtraLight Condensed Contrast-Min,248,44.4000,105.6000,25,200,40,72,-10
ExtraLight Condensed,248,78,72,25,200,40,72,0
ExtraLight Condensed Contrast-Max,248,102.570,61.470,25,200,40,72,10
ExtraLight Condensed Small Contrast-Min,248,59.0132000,118.5198000,75,200,40,12,-10
ExtraLight Condensed Small,248,87.533,90,75,200,40,12,0
ExtraLight Condensed Small Contrast-Max,248,107.065135,81.629085,75,200,40,12,10
Light Condensed Contrast-Min,280,60.11428571428571428571428571,121.1142857142857142857142857,25,300,40,72,-10
Light Condensed,280,95,90,25,300,40,72,0
Light Condensed Contrast-Max,280,117.9964285714285714285714286,78.74642857142857142857142857,25,300,40,72,10
Light Condensed Small Contrast-Min,280,78.63202285714285714285714286,137.4542228571428571428571429,75,300,40,12,-10
Light Condensed Small,280,106.611,112.5,75,300,40,12,0
Light Condensed Small Contrast-Max,280,123.3929207142857142857142857,104.2875707142857142857142857,75,300,40,12,10
Regular Condensed Contrast-Min,290,102.2057142857142857142857143,165.6057142857142857142857143,25,400,40,72,-10
Regular Condensed,290,147,130,25,400,40,72,0
Regular Condensed Contrast-Max,290,175.5750000000000000000000000,114.1250000000000000000000000,25,400,40,72,10
Regular Condensed Small Contrast-Min,290,129.8890628571428571428571428,190.3824628571428571428571428,75,400,40,12,-10
Regular Condensed Small,290,164.967,162.5,75,400,40,12,0
Regular Condensed Small Contrast-Max,290,185.6007535714285714285714286,151.0368035714285714285714286,75,400,40,12,10
Medium Condensed Contrast-Min,323,130.2342857142857142857142857,191.8342857142857142857142857,25,500,40,72,-10
Medium Condensed,323,171,163,25,500,40,72,0
Medium Condensed Contrast-Max,323,193.6057142857142857142857143,148.8057142857142857142857143,25,500,40,72,10
Medium Condensed Small Contrast-Min,323,165.0860000000000000000000000,222.7160000000000000000000000,75,500,40,12,-10
Medium Condensed Small,323,191.9,203.75,75,500,40,12,0
Medium Condensed Small Contrast-Max,323,204.1411785714285714285714286,196.0636785714285714285714286,75,500,40,12,10
Semibold Condensed Contrast-Min,345,203.1428571428571428571428572,263.1428571428571428571428572,25,600,40,72,-10
Semibold Condensed,345,240,240,25,600,40,72,0
Semibold Condensed Contrast-Max,345,257.5714285714285714285714286,227.5714285714285714285714286,25,600,40,72,10
Semibold Condensed Small Contrast-Min,345,255.0818171428571428571428571,308.9484171428571428571428571,75,600,40,12,-10
Semibold Condensed Small,345,269.333,300,75,600,40,12,0
Semibold Condensed Small Contrast-Max,345,271.6366435714285714285714286,298.3705935714285714285714286,75,600,40,12,10
