Instance Name,XTRA,XOPQ,YOPQ,WGHT,WDTH,OPSZ
Min,47,1,1,100,5,12
Min Min Opsz,142.8,12.4,9.7,100,5,12
Min Wide,1665,1,1,100,200,12
Min Wide Min Opsz,1629.4,24,11.5,100,200,12
Default,819.1,208.4,124,400,100,24
Default Min Opsz,819.1,208.4,124,400,100,12
BC,47,245.1,217.3,900,5,96
BC Min Opsz,47,225.3,200.5,900,5,12
Max,1665,700,275,900,200,96
Max Min Opsz,1665,652.5,252,900,200,12
Max Ultra,1665,1500,275,900,200,96
Max Ultra Min Opsz,1665,1500,275,900,200,12
Min Ultra,47,1500,1,100,5,96
Min Ultra Min Opsz,47,1500,1,100,5,12
